gene_name,aro_id,aro_name,antibiotic_class
arr-8,3002853,arr-8,
rgt1438,3002883,rgt1438,
SME-5,3002383,SME-5,
CMY-9,3002020,CMY-9,
APH(2'')-Ie,3002634,APH(2'')-Ie,
QnrB10,3002724,QnrB10,
AAC(6')-IIb,3002595,AAC(6')-IIb,
cphA7,3003103,cphA7,
IMP-12,3002203,IMP-12,
OXA-229,3001692,OXA-229,
OXA-98,3001646,OXA-98,
OXA-27,3001422,OXA-27,
SHV-92,3001144,SHV-92,
aadA12,3002612,aadA12,
catB3,3002676,catB3,
OKP-A-15,3002432,OKP-A-15,
cpxA,3000830,cpxA,
adeF,3000777,adeF,
mgrA,3000815,mgrA,
TEM-195,3001055,TEM-195,
AAC(6')-Iaf,3002574,AAC(6')-Iaf,
dfrA21,3003017,dfrA21,
myrA,3001300,myrA,
vgaALC,3002830,vgaALC,
OXA-236,3001677,OXA-236,
SHV-56,3001112,SHV-56,
KPC-8,3002318,KPC-8,
OXA-376,3001562,OXA-376,
vanN,3002912,vanN,
VIM-29,3002299,VIM-29,
tet(42),3000572,tet(42),
tet(45),3003196,tet(45),
tet(E),3000173,tet(E),
tsnR,3003060,tsnR,
CMY-39,3002050,CMY-39,
VIM-17,3002287,VIM-17,
fosA5,3003209,fosA5,
Streptomyces lividans cmlR,3002690,Streptomyces lividans cmlR,
vanR gene in vanB cluster,3002921,vanR gene in vanB cluster,
IMP-33,3002224,IMP-33,
IMP-19,3002210,IMP-19,
TEM-78,3000944,TEM-78,
arr-4,3002849,arr-4,
CfxA2,3003002,CfxA2,
CTX-M-24,3001886,CTX-M-24,
CMY-25,3002036,CMY-25,
IMP-51,3003659,IMP-51,
QnrA5,3002711,QnrA5,
DHA-19,3002150,DHA-19,
GES-14,3002343,GES-14,
arlS,3000839,arlS,
adeS,3000549,adeS,
OCH-1,3002514,OCH-1,
OXA-232,3001778,OXA-232,
OXA-12,3001407,OXA-12,
OXA-348,3001535,OXA-348,
SHV-89,3001141,SHV-89,
CTX-M-19,3001881,CTX-M-19,
OXA-195,3001480,OXA-195,
OXA-199,3001814,OXA-199,
CTX-M-38,3001900,CTX-M-38,
TEM-121,3000983,TEM-121,
SHV-61,3001116,SHV-61,
CTX-M-58,3001919,CTX-M-58,
CTX-M-56,3001918,CTX-M-56,
TEM-138,3001002,TEM-138,
SRT-1,3002493,SRT-1,
LEN-14,3002477,LEN-14,
OCH-3,3002516,OCH-3,
SHV-101,3001150,SHV-101,
OXY-2-8,3002403,OXY-2-8,
VIM-43,3003179,VIM-43,
APH(4)-Ia,3002655,APH(4)-Ia,
FomA,3000423,FomA,
GES-12,3002341,GES-12,
CMY-105,3002117,CMY-105,
SHV-35,3001093,SHV-35,
TEM-206,3001383,TEM-206,
OXA-21,3001416,OXA-21,
SHV-121,3001168,SHV-121,
bcrC,3003250,bcrC,
LEN-9,3002459,LEN-9,
npmA,3002665,npmA,
OKP-A-12,3002429,OKP-A-12,
TEM-92,3000959,TEM-92,
CMY-100,3002112,CMY-100,
GES-3,3002332,GES-3,
MIR-2,3002168,MIR-2,
CTX-M-88,3001948,CTX-M-88,
OXA-113,3001644,OXA-113,
OKP-B-3,3002436,OKP-B-3,
sdiA,3000826,sdiA,
OXA-422,3003160,OXA-422,
OXA-178,3001472,OXA-178,
imiH,3003094,imiH,
LEN-21,3002468,LEN-21,
QnrS8,3002797,QnrS8,
OXA-181,3001784,OXA-181,
ACT-19,3001840,ACT-19,
SHV-137,3001181,SHV-137,
OXA-83,3001623,OXA-83,
ACT-30,3001850,ACT-30,
SHV-152,3001191,SHV-152,
OXA-9,3001404,OXA-9,
SHV-164,3001347,SHV-164,
cmlA5,3002695,cmlA5,
CTX-M-126,3001985,CTX-M-126,
TEM-158,3001024,TEM-158,
OKP-B-9,3002442,OKP-B-9,
ermZ,3004605,ermZ,
APH(3')-VIIa,3002654,APH(3')-VIIa,
APH(9)-Ia,3002662,APH(9)-Ia,
OXA-150,3001455,OXA-150,
CMY-21,3002032,CMY-21,
ACT-37,3003172,ACT-37,
OXA-208,3001486,OXA-208,
ErmN,3000592,ErmN,
CMY-65,3002078,CMY-65,
VIM-8,3002278,VIM-8,
dfrA24,3002856,dfrA24,
lsaE,3003206,lsaE,
SHV-128,3001175,SHV-128,
QnrB13,3002727,QnrB13,
OXA-43,3001770,OXA-43,
CfxA6,3003097,CfxA6,
CMY-8,3002019,CMY-8,
LEN-20,3002467,LEN-20,
CMY-4,3002015,CMY-4,
QnrB36,3002751,QnrB36,
VEB-7,3002376,VEB-7,
OXA-174,3001658,OXA-174,
OKP-B-2,3002435,OKP-B-2,
TEM-91,3000958,TEM-91,
imiS,3003095,imiS,
CTX-M-107,3001967,CTX-M-107,
CTX-M-11,3001874,CTX-M-11,
CMY-110,3002071,CMY-110,
CTX-M-125,3001984,CTX-M-125,
CMY-85,3002098,CMY-85,
smeD,3003055,smeD,
TEM-11,3000883,TEM-11,
SHV-162,3001201,SHV-162,
TEM-67,3000934,TEM-67,
CMY-60,3002073,CMY-60,
OXA-85,3001780,OXA-85,
vatD,3002843,vatD,
APH(3')-Ia,3002641,APH(3')-Ia,
TEM-17,3000888,TEM-17,
SHV-180,3001350,SHV-180,
CfxA4,3003005,CfxA4,
OXA-145,3001804,OXA-145,
VIM-23,3002293,VIM-23,
CMY-98,3002111,CMY-98,
AAC(6')-29a,3002583,AAC(6')-29a,
CMY-95,3002108,CMY-95,
TEM-207,3001384,TEM-207,
ErmQ,3000593,ErmQ,
IND-11,3002267,IND-11,
chrB,3001302,chrB,
SHV-32,3001090,SHV-32,
CTX-M-101,3001960,CTX-M-101,
CMY-118,3002129,CMY-118,
CMY-35,3002046,CMY-35,
SHV-78,3001132,SHV-78,
IND-2,3002257,IND-2,
OXA-167,3001467,OXA-167,
OXA-143,3001654,OXA-143,
TEM-176,3001041,TEM-176,
DHA-2,3002133,DHA-2,
CTX-M-36,3001898,CTX-M-36,
TEM-148,3001015,TEM-148,
OXA-358,3001545,OXA-358,
OXA-366,3001553,OXA-366,
CTX-M-35,3001897,CTX-M-35,
aadA9,3002609,aadA9,
QnrB54,3002767,QnrB54,
LEN-23,3002470,LEN-23,
OprN,3000805,OprN,
Rhodococcus fascians cmr,3002701,Rhodococcus fascians cmr,
OXA-225,3001493,OXA-225,
GES-17,3002346,GES-17,
JOHN-1,3000840,JOHN-1,
vanR gene in vanF cluster,3002925,vanR gene in vanF cluster,
CepS,3003553,CepS,
FEZ-1,3000606,FEZ-1,
CTX-M-159,3003167,CTX-M-159,
IMP-26,3002217,IMP-26,
TEM-166,3001032,TEM-166,
vanXY gene in vanG cluster,3003069,vanXY gene in vanG cluster,
CARB-23,3003186,CARB-23,
mexX,3003034,mexX,
adeC,3003811,adeC,
OXY-1-2,3002390,OXY-1-2,
NDM-23,3004866,NDM-23,
CMY-51,3002062,CMY-51,
IMP-1,3002192,IMP-1,
smeS,3003067,smeS,
OXA-31,3001425,OXA-31,
SHV-188,3003155,SHV-188,
bcrA,3002987,bcrA,
QnrB23,3002738,QnrB23,
OXY-3-1,3002409,OXY-3-1,
vanL,3002910,vanL,
ykkD,3003064,ykkD,
SHV-6,3001065,SHV-6,
PDC-5,3002502,PDC-5,
QnrB2,3002715,QnrB2,
QnrB24,3002739,QnrB24,
ErmU,3001305,ErmU,
VIM-38,3002308,VIM-38,
QnrB42,3002757,QnrB42,
TEM-112,3000975,TEM-112,
AAC(6')-Iy,3002569,AAC(6')-Iy,
OXA-278,3001681,OXA-278,
CTX-M-151,3002008,CTX-M-151,
TEM-155,3001021,TEM-155,
CMY-83,3002096,CMY-83,
TEM-122,3000984,TEM-122,
CTX-M-25,3001887,CTX-M-25,
CARB-14,3002252,CARB-14,
SHV-15,3001074,SHV-15,
SHV-8,3001067,SHV-8,
qacA,3003046,qacA,
MIR-3,3002169,MIR-3,
SHV-21,3001079,SHV-21,
mdtH,3001216,mdtH,
lnuC,3002837,lnuC,
mepA,3000026,mepA,
TEM-214,3001391,TEM-214,
OXA-148,3001453,OXA-148,
CTX-M-147,3002005,CTX-M-147,
QnrS1,3002790,QnrS1,
QnrB61,3002774,QnrB61,
APH(2'')-IVa,3002637,APH(2'')-IVa,
OXA-46,3001797,OXA-46,
LEN-8,3002458,LEN-8,
mdtA,3000792,mdtA,
QnrB71,3002783,QnrB71,
VIM-2,3002272,VIM-2,
QnrS5,3002794,QnrS5,
OXA-130,3001651,OXA-130,
sul3,3000413,sul3,
OXA-357,3001544,OXA-357,
TEM-71,3000937,TEM-71,
MIR-16,3002181,MIR-16,
PDC-1,3002497,PDC-1,
ACT-22,3001843,ACT-22,
dfrA8,3002863,dfrA8,
OXA-217,3001489,OXA-217,
OXA-202,3001667,OXA-202,
ACC-4,3001818,ACC-4,
OXA-352,3001539,OXA-352,
OXA-380,3001566,OXA-380,
AAC(3)-IIIb,3002537,AAC(3)-IIIb,
QnrB11,3002725,QnrB11,
OXA-117,3001442,OXA-117,
OXA-144,3002480,OXA-144,
OXA-377,3001563,OXA-377,
TEM-33,3000903,TEM-33,
OXA-204,3001788,OXA-204,
QnrB6,3002720,QnrB6,
OXA-325,3001513,OXA-325,
SLB-1,3003556,SLB-1,
CTX-M-1,3001864,CTX-M-1,
TEM-2,3000874,TEM-2,
FOX-10,3002162,FOX-10,
DHA-16,3002147,DHA-16,
SHV-36,3001094,SHV-36,
TEM-182,3001373,TEM-182,
aadK,3002627,aadK,
OCH-7,3002520,OCH-7,
OXY-2-7,3002402,OXY-2-7,
mdsA,3000789,mdsA,
OXA-87,3001704,OXA-87,
ACT-25,3001845,ACT-25,
LEN-16,3002464,LEN-16,
OKP-A-9,3002426,OKP-A-9,
OXY-4-1,3002410,OXY-4-1,
SHV-69,3001123,SHV-69,
VIM-6,3002276,VIM-6,
SHV-83,3001137,SHV-83,
OXA-54,3001812,OXA-54,
OKP-B-10,3002443,OKP-B-10,
AAC(6')-Ib-Suzhou,3002591,AAC(6')-Ib-Suzhou,
TEM-22,3000893,TEM-22,
catB8,3002680,catB8,
SHV-67,3001122,SHV-67,
dfrG,3002868,dfrG,
SHV-133,3001177,SHV-133,
OXA-51,3001612,OXA-51,
LRA-5,3002483,LRA-5,
QnrVC4,3002801,QnrVC4,
mtrE,3000812,mtrE,
KPC-4,3002314,KPC-4,
vanC,3000368,vanC,
adeR,3000553,adeR,
OXA-93,3001628,OXA-93,
CTX-M-94,3001954,CTX-M-94,
CMY-29,3002040,CMY-29,
OXA-13,3001408,OXA-13,
CTX-M-30,3001892,CTX-M-30,
NDM-13,3003182,NDM-13,
CTX-M-76,3001937,CTX-M-76,
CARB-3,3002242,CARB-3,
Erm(37),3000392,Erm(37),
SHV-49,3001106,SHV-49,
OXA-4,3001399,OXA-4,
TEM-151,3001018,TEM-151,
TEM-128,3000990,TEM-128,
dfrD,3002866,dfrD,
OXA-106,3001637,OXA-106,
amrB,3002983,amrB,
catP,3002686,catP,
AAC(3)-IIa,3002533,AAC(3)-IIa,
IMP-29,3002220,IMP-29,
GES-9,3002338,GES-9,
VIM-30,3002300,VIM-30,
LEN-1,3002454,LEN-1,
GES-7,3002336,GES-7,
QnrB49,3002764,QnrB49,
TEM-191,3001051,TEM-191,
MexA,3000377,MexA,
tet(B),3000166,tet(B),
tet(Y),3000182,tet(Y),
tlrB conferring tylosin resistance,3001299,tlrB conferring tylosin resistance,
tetR,3003479,tetR,
blaF,3003562,blaF,
mphF,3003071,mphF,
cmlB,3002698,cmlB,
macB,3000535,macB,
SHV-156,3001195,SHV-156,
TEM-188,3001048,TEM-188,
TUS-1,3000844,TUS-1,
OpmD,3000809,OpmD,
PER-2,3002364,PER-2,
TEM-84,3000951,TEM-84,
KPC-14,3002324,KPC-14,
CMY-28,3002039,CMY-28,
vanR gene in vanL cluster,3002927,vanR gene in vanL cluster,
tet(W),3000194,tet(W),
KPC-16,3002326,KPC-16,
OXA-79,3001633,OXA-79,
QnrB17,3002732,QnrB17,
OXA-164,3001662,OXA-164,
AAC(3)-VIIIa,3002542,AAC(3)-VIIIa,
aadA17,3002617,aadA17,
CTX-M-69,3001930,CTX-M-69,
TEM-52,3000921,TEM-52,
IMP-5,3002196,IMP-5,
rosB,3003049,rosB,
tetA(P),3000180,tetA(P),
FOX-1,3002155,FOX-1,
CTX-M-9,3001872,CTX-M-9,
dfrA3,3003105,dfrA3,
CTX-M-82,3001943,CTX-M-82,
CARB-19,3003175,CARB-19,
LEN-10,3002460,LEN-10,
NDM-24,3004867,NDM-24,
QnrD2,3002789,QnrD2,
VIM-26,3002296,VIM-26,
OXA-386,3001572,OXA-386,
OXA-75,3001620,OXA-75,
dfrA25,3003020,dfrA25,
CMY-13,3002024,CMY-13,
ACT-2,3001822,ACT-2,
SHV-38,3001096,SHV-38,
OCH-8,3002521,OCH-8,
SHV-185,3003152,SHV-185,
VIM-11,3002281,VIM-11,
CTX-M-47,3001909,CTX-M-47,
CARB-16,3002255,CARB-16,
TEM-95,3000962,TEM-95,
OXA-120,3001672,OXA-120,
QnrB59,3002772,QnrB59,
emrY,3000254,emrY,
TEM-133,3000997,TEM-133,
adeH,3000779,adeH,
TEM-106,3000969,TEM-106,
AAC(6')-Is,3002562,AAC(6')-Is,
GES-22,3002351,GES-22,
TLA-1,3003202,TLA-1,
arr-5,3002850,arr-5,
QnrB3,3002716,QnrB3,
TEM-107,3000970,TEM-107,
CMY-71,3002084,CMY-71,
CTX-M-117,3001977,CTX-M-117,
QnrB28,3002743,QnrB28,
VIM-35,3002305,VIM-35,
OXA-163,3001783,OXA-163,
OXA-133,3001702,OXA-133,
SHV-9,3001068,SHV-9,
qacB,3003047,qacB,
OXA-77,3001622,OXA-77,
OKP-B-8,3002441,OKP-B-8,
TEM-187,3001047,TEM-187,
OKP-B-6,3002439,OKP-B-6,
IMP-22,3002213,IMP-22,
SHV-82,3001136,SHV-82,
OXA-32,3001426,OXA-32,
CTX-M-41,3001903,CTX-M-41,
CTX-M-20,3001882,CTX-M-20,
OXA-228,3001691,OXA-228,
clbA,3002814,clbA,
OXA-137,3001767,OXA-137,
OXA-136,3001765,OXA-136,
AAC(6')-Ia,3002545,AAC(6')-Ia,
AAC(3)-Ib,3002530,AAC(3)-Ib,
MIR-5,3002170,MIR-5,
QnrB65,3002777,QnrB65,
SHV-11,3001070,SHV-11,
vgaA,3002829,vgaA,
TEM-110,3000973,TEM-110,
QnrB19,3002734,QnrB19,
FOX-7,3002160,FOX-7,
SHV-100,3001338,SHV-100,
aadA21,3002618,aadA21,
NDM-7,3002357,NDM-7,
VIM-20,3002290,VIM-20,
TEM-73,3000939,TEM-73,
OKP-A-7,3002424,OKP-A-7,
TEM-145,3001012,TEM-145,
IND-6,3002262,IND-6,
CTX-M-122,3001981,CTX-M-122,
lmrB,3002813,lmrB,
abeS,3000768,abeS,
QnrB41,3002756,QnrB41,
SHV-75,3001129,SHV-75,
ROB-1,3002995,ROB-1,
dfrA16,3003014,dfrA16,
OKP-A-3,3002420,OKP-A-3,
CMY-2,3002013,CMY-2,
dfrA20,3003016,dfrA20,
VIM-16,3002286,VIM-16,
mdtG,3001329,mdtG,
OXA-385,3001571,OXA-385,
OXA-96,3001631,OXA-96,
IMI-2,3001859,IMI-2,
TEM-201,3001378,TEM-201,
OXA-361,3001548,OXA-361,
emrK,3000206,emrK,
SHV-153,3001192,SHV-153,
OXA-328,3001516,OXA-328,
PDC-7,3002506,PDC-7,
VEB-4,3002373,VEB-4,
SFB-1,3003557,SFB-1,
OXA-211,3001710,OXA-211,
NDM-8,3002358,NDM-8,
OXA-147,3001801,OXA-147,
emeA,3003551,emeA,
SHV-30,3001088,SHV-30,
OXA-320,3001793,OXA-320,
ErmF,3000498,ErmF,
DHA-7,3002136,DHA-7,
OXA-68,3001616,OXA-68,
QnrB46,3002761,QnrB46,
catB10,3003110,catB10,
VIM-28,3002298,VIM-28,
adeJ,3000781,adeJ,
TEM-21,3000892,TEM-21,
OXA-355,3001542,OXA-355,
smeF,3003057,smeF,
OXA-332,3001520,OXA-332,
CFE-1,3001856,CFE-1,
OXY-6-2,3002414,OXY-6-2,
ACT-16,3001827,ACT-16,
CARB-6,3002245,CARB-6,
aadA25,3003197,aadA25,
OXY-2-5,3002400,OXY-2-5,
OXY-2-1,3002396,OXY-2-1,
mecR1,3000215,mecR1,
OXA-349,3001536,OXA-349,
TEM-89,3000956,TEM-89,
GES-4,3002333,GES-4,
OXA-115,3001440,OXA-115,
aadA,3002601,aadA,
tcr3,3002893,tcr3,
SAT-3,3002898,SAT-3,
tet(31),3000476,tet(31),
eptA,3003576,eptA,
Clostridium butyricum catB,3002674,Clostridium butyricum catB,
AAC(3)-VIIa,3002541,AAC(3)-VIIa,
dfrA26,3002857,dfrA26,
OXA-243,3001610,OXA-243,
OXA-219,3001668,OXA-219,
AcrS,3000656,AcrS,
vanY gene in vanB cluster,3002956,vanY gene in vanB cluster,
vanXY gene in vanE cluster,3002967,vanXY gene in vanE cluster,
vanV gene in vanB cluster,3004254,vanV gene in vanB cluster,
SHV-142,3001184,SHV-142,
CMY-104,3002116,CMY-104,
AAC(6')-29b,3002584,AAC(6')-29b,
VIM-5,3002275,VIM-5,
TEM-162,3001028,TEM-162,
ACT-36,3003171,ACT-36,
CMY-43,3002054,CMY-43,
TEM-10,3000882,TEM-10,
CTX-M-34,3001896,CTX-M-34,
ACT-1,3001821,ACT-1,
CTX-M-65,3001926,CTX-M-65,
MIR-12,3002177,MIR-12,
IND-3,3002259,IND-3,
CTX-M-137,3001994,CTX-M-137,
CMY-27,3002038,CMY-27,
IMP-48,3002239,IMP-48,
OXA-15,3001410,OXA-15,
OXA-25,3001420,OXA-25,
AAC(6')-Ih,3002555,AAC(6')-Ih,
OXA-171,3001471,OXA-171,
PDC-10,3002509,PDC-10,
SHV-108,3001157,SHV-108,
CMY-54,3002065,CMY-54,
TEM-120,3000982,TEM-120,
QnrS4,3002793,QnrS4,
CMY-75,3002088,CMY-75,
SHV-37,3001095,SHV-37,
OXA-239,3001498,OXA-239,
OXA-162,3001776,OXA-162,
APH(3')-Vc,3002651,APH(3')-Vc,
MOX-2,3002183,MOX-2,
CTX-M-123,3001982,CTX-M-123,
OXA-347,3001777,OXA-347,
TEM-159,3001025,TEM-159,
OXA-22,3001417,OXA-22,
CTX-M-40,3001902,CTX-M-40,
CMY-66,3002079,CMY-66,
cfrA,3003441,cfrA,
Erm(42),3003106,Erm(42),
TEM-205,3001382,TEM-205,
QnrS9,3002798,QnrS9,
ACT-31,3001851,ACT-31,
SHV-129,3001176,SHV-129,
CTX-M-98,3001957,CTX-M-98,
cmlv,3002700,cmlv,
CMY-116,3002127,CMY-116,
APH(7'')-Ia,3002661,APH(7'')-Ia,
AIM-1,3000853,AIM-1,
CTX-M-49,3001911,CTX-M-49,
TEM-213,3001390,TEM-213,
dfrB6,3003023,dfrB6,
SHV-62,3001117,SHV-62,
catB2,3002675,catB2,
CTX-M-81,3001942,CTX-M-81,
dfrB1,3002864,dfrB1,
PDC-3,3002500,PDC-3,
QnrB32,3002747,QnrB32,
CTX-M-100,3001959,CTX-M-100,
LRA-8,3002487,LRA-8,
CMY-33,3002044,CMY-33,
BcI,3002877,BcI,
OXA-28,3001423,OXA-28,
SHV-72,3001126,SHV-72,
AAC(6')-Ij,3002557,AAC(6')-Ij,
GES-11,3002340,GES-11,
PC1 beta-lactamase (blaZ),3000621,PC1 beta-lactamase (blaZ),
ErmS,3001304,ErmS,
TEM-192,3001052,TEM-192,
CTX-M-8,3001871,CTX-M-8,
AAC(6')-IIc,3002596,AAC(6')-IIc,
IMP-11,3002202,IMP-11,
OXA-237,3001678,OXA-237,
NDM-25,3004868,NDM-25,
TEM-30,3000900,TEM-30,
arr-7,3002852,arr-7,
AAC(6')-Iae,3002573,AAC(6')-Iae,
LRA-18,3002492,LRA-18,
QnrB21,3002736,QnrB21,
CfxA,3003001,CfxA,
AAC(3)-Id,3002529,AAC(3)-Id,
arr-3,3002848,arr-3,
CMY-40,3002051,CMY-40,
AAC(2')-Ib,3002524,AAC(2')-Ib,
QnrA4,3002710,QnrA4,
cmeB,3000784,cmeB,
SHV-97,3001149,SHV-97,
SHV-172,3001356,SHV-172,
TEM-217,3001394,TEM-217,
CTX-M-48,3001910,CTX-M-48,
KPC-9,3002319,KPC-9,
CMY-80,3002093,CMY-80,
OXA-198,3001805,OXA-198,
OCH-2,3002515,OCH-2,
TEM-6,3000878,TEM-6,
GES-13,3002342,GES-13,
CTX-M-55,3001917,CTX-M-55,
FOX-2,3002156,FOX-2,
QnrB7,3002721,QnrB7,
SHV-102,3001151,SHV-102,
OXA-207,3001485,OXA-207,
SHV-43,3001101,SHV-43,
KPC-11,3002321,KPC-11,
SHV-57,3001113,SHV-57,
CMY-24,3002035,CMY-24,
LEN-6,3002476,LEN-6,
OCH-4,3002517,OCH-4,
CMY-113,3002124,CMY-113,
NDM-1,3000589,NDM-1,
IMP-25,3002216,IMP-25,
OXA-350,3001537,OXA-350,
CARB-9,3002248,CARB-9,
QnrB25,3002740,QnrB25,
OXA-63,3001764,OXA-63,
AAC(6')-Iv,3002566,AAC(6')-Iv,
OXY-2-9,3002404,OXY-2-9,
dfrA23,3003019,dfrA23,
SHV-46,3001104,SHV-46,
IMP-43,3002234,IMP-43,
CMY-32,3002043,CMY-32,
SHV-14,3001073,SHV-14,
OXY-1-1,3002389,OXY-1-1,
IMP-34,3002225,IMP-34,
OXA-324,3001512,OXA-324,
iri,3002884,iri,
TEM-55,3000924,TEM-55,
cmeC,3000785,cmeC,
CTX-M-31,3001893,CTX-M-31,
CTX-M-87,3001947,CTX-M-87,
mfpA,3003035,mfpA,
QnrA3,3002709,QnrA3,
cphA4,3003100,cphA4,
tetB(P),3000195,tetB(P),
SHV-150,3001189,SHV-150,
OKP-B-1,3002434,OKP-B-1,
TEM-171,3001037,TEM-171,
lnuB,3002836,lnuB,
mecC,3001209,mecC,
basR,3003582,basR,
MexC,3000800,MexC,
OprJ,3000802,OprJ,
TEM-26,3000896,TEM-26,
CMY-10,3002021,CMY-10,
OXA-216,3001488,OXA-216,
TEM-113,3000976,TEM-113,
vanR gene in vanA cluster,3002919,vanR gene in vanA cluster,
SMB-1,3000854,SMB-1,
GOB-1,3000850,GOB-1,
OXA-3,3001398,OXA-3,
CTX-M-158,3003166,CTX-M-158,
SHV-141,3001183,SHV-141,
CTX-M-68,3001929,CTX-M-68,
mdtB,3000793,mdtB,
QnrD1,3002788,QnrD1,
vanD,3000005,vanD,
SHV-20,3001078,SHV-20,
vanH gene in vanO cluster,3002948,vanH gene in vanO cluster,
tet(37),3002871,tet(37),
tet(X),3000205,tet(X),
QnrB55,3002768,QnrB55,
TEM-83,3000950,TEM-83,
DHA-17,3002148,DHA-17,
SHV-157,3001196,SHV-157,
OKP-B-13,3002446,OKP-B-13,
SHV-161,3001200,SHV-161,
CfxA5,3003096,CfxA5,
FosA3,3002872,FosA3,
APH(3')-Ib,3002642,APH(3')-Ib,
TEM-68,3000935,TEM-68,
vatH,3002845,vatH,
CTX-M-102,3001961,CTX-M-102,
CMY-44,3002055,CMY-44,
CMY-20,3002031,CMY-20,
CTX-M-14,3001877,CTX-M-14,
QnrB14,3002728,QnrB14,
CMY-117,3002128,CMY-117,
TEM-163,3001029,TEM-163,
DHA-12,3002143,DHA-12,
CTX-M-108,3001968,CTX-M-108,
OKP-A-2,3002419,OKP-A-2,
OXA-138,3001655,OXA-138,
OXA-26,3001421,OXA-26,
QnrB62,3002775,QnrB62,
OXA-160,3001663,OXA-160,
CMY-58,3002072,CMY-58,
TEM-142,3001005,TEM-142,
mepR,3000746,mepR,
tet(56),3004603,tet(56),
IND-14,3002269,IND-14,
TEM-42,3000911,TEM-42,
OXA-215,3001714,OXA-215,
IMP-16,3002207,IMP-16,
